movie_name,movie_description,casts,genres,run_time,views,rating,seasons,index
Fargo,"A drifter named Lorne Malvo arrives in small-town Minnesota and influences the population with his malice and violence, including put-upon insurance salesman Lester Nygaard.","Billy Bob Thornton, Allison Tolman, Colin Hanks","Crime, Drama ",53 Minutes,860870,0.01,3,1038
The 100,"Set 97 years after a nuclear war has destroyed civilization, when a spaceship housing humanitys lone survivors sends 100 juvenile delinquents back to Earth in hopes of possibly re-populating the planet.","Eliza Taylor, Bob Morley, Devon Bostick",Sci-Fi ,60 Minutes,9247906,0.53,7,1039
House of Cards,"Majority House Whip Francis Underwood takes you on a long journey as he exacts his vengeance on those he feels wronged him - that is, his own cabinet members including the President of the United States himself. Dashing, cunning, methodical and vicious, Frank Underwood along with his equally manipulative yet ambiguous wife, Claire take Washington by storm through climbing the hierarchical ladder to power in this Americanized recreation of the BBC series of the same name.","Kevin Spacey, Michael Gill, Robin Wright",Drama ,60 Minutes,1867314,0.04,6,1040
Star Crossed,About an epic romance between a human girl and an alien boy when he and others of his kind are integrated into a suburban high school 10 years after they landed on Earth and were consigned to an internment camp.,"Aimee Teegarden, Matt Lanter, Malese Jow","Romance, Sci-Fi ",60 Minutes,1149380,0.06,1,1041
True Detective,"The lives of two detectives, Rust Cohle and Martin Hart, become entangled during a 17-year hunt for a serial killer in Louisiana.","Matthew McConaughey, Woody Harrelson, Michelle Monaghan","Crime, Drama, Mystery ",60 Minutes,814454,0.02,3,1042
Intelligence,"A drama centered on a high-tech intelligence operative who is enhanced with a super-computer microchip in his brain, and the director of the elite government cyber-security agency who supports him.","Josh Holloway, Meghan Ory, John Billingsley","Action, Sci-Fi ",42 Minutes,1313939,0.05,1,1043
Helix,"A team of scientists are thrust into a potentially life-or-death situation in this thriller, which begins with the group being deployed to the Arctic to secretly investigate what could be a disease outbreak.","Billy Campbell, Hiroyuki Sanada, Kyra Zagorsky","Sci-Fi, Thriller ",40 Minutes,744588,0.01,2,1044
The Following,The FBI estimates there are currently over 300 active serial killers in the United States. What would happen if these killers had a way of communicating and connecting with each other? What if they were able to work together and form alliances across the country? What if one brilliant psychotic serial killer was able to bring them all together and activate a following?,"Kevin Bacon, Shawn Ashmore, Valorie Curry","Crime, Drama, Mystery ",45 Minutes,1033792,0.01,3,1045
Banshee,"Lucas Hood (Antony Starr), an ex-con and master thief assumes the identity of a murdered sheriff where he continues his criminal activities. His past seems to haunt him by those he betrayed years earlier. This ex-con imposes his own brand of justice where violence erupts at every turn in the not so quiet Amish town, Banshee, Pennsylvania.","Hoon Lee, Rus Blackwell, Trieste Kelly Dunn","Action, Crime, Drama ",60 Minutes,2648026,0.07,4,1046
Ravenswood,Five strangers are connected by the curse that has plagued Ravenswood for generations.,"Nicole Gale Anderson, Tyler Blackburn, Steven Cabral","Drama, Horror ",43 Minutes,886366,0.01,1,1047
Hostages,"Dr. Ellen Sanders, a premiere surgeon, is thrust into a chilling political conspiracy when her family is taken hostage by rogue FBI Agent Duncan Carlisle. Ellen and her family are held captive in their home by Carlisle, a desperate man doing the wrong thing for the right reasons, who orders her to assassinate the President when she operates on him. His highly skilled accomplices include his brother-in-law Kramer, whose loyalty to Carlisle will be tested; quick-tempered and intimidating Archer, an ex-military man with a razor-sharp tongue; and the only woman involved, Sandrine, a mysterious last-minute replacement to the team. With her family's life in peril, Ellen faces an incomprehensible moral dilemma in order to save her overbearing husband Brian, her secretive daughter Morgan and her not-so-innocent son Jake. In this high-stakes standoff between Ellen and Carlisle, fraught with tremendous national and personal consequences, the choices between right and wrong become even more","Mateus Ward, Quinn Shephard, Dylan McDermott","Drama, Thriller ",45 Minutes,853595,0.02,1,1048
The Carrie Diaries,"Carrie Bradshaw is in her junior year of high school in the early 1980s. She asks her first questions about love, sex, friendship and family while navigating the worlds of high school and Manhattan.","AnnaSophia Robb, Austin Butler, Katie Findlay","Comedy, Romance ",45 minutes,962521,0.01,2,1049
Almost Human,"In a not-so-distant future, human cops and androids partner up to protect and serve.","Karl Urban, Michael Ealy, Lili Taylor","Action, Crime, Drama ",60 Minutes,1303997,0.05,1,1050
Dracula,"Series introduces Dracula as he arrives in London, posing as an American entrepreneur who maintains that he wants to bring modern science to Victorian society. In reality, he hopes to wreak revenge on the people who ruined his life centuries earlier. There's only one circumstance that can potentially thwart his plan: Dracula falls hopelessly in love with a woman who seems to be a reincarnation of his dead wife.","Robert Bathurst, Miklós Bányai, Jonathan Rhys Meyers","Drama, Horror ",45 Minutes,1423841,0.06,1,1051
Reign,"Chronicles the rise to power of Mary Queen of Scots (Kane) when she arrives in France as a 15-year-old, betrothed to Prince Francis, and with her three best friends as ladies-in-waiting. It details the secret history of survival at French Court amidst fierce foes, dark forces, and a world of sexual intrigue.","Adelaide Kane, Megan Follows, Toby Regbo","Drama, Fantasy ",45 Minutes,3321915,0.06,4,1052
Revolution,"Our entire way of life depends on electricity. So what would happen if it just stopped working? Well, one day, like a switch turned off, the world is suddenly thrust back into the dark ages. Planes fall from the sky, hospitals shut down, and communication is impossible. And without any modern technology, who can tell us why? Now, 15 years later, life is back to what it once was long before the industrial revolution: families living in quiet cul-de-sacs, and when the sun goes down lanterns and candles are lit. Life is slower and sweeter. Or is it? On the fringes of small farming communities, danger lurks. And a young woman's life is dramatically changed when a local militia arrives and kills her father, who mysteriously - and unbeknownst to her - had something to do with the blackout. This brutal encounter sets her and two unlikely companions off on a daring coming-of-age journey to find answers about the past in the hopes of reclaiming the future.","Billy Burke, Tracy Spiridakos, Giancarlo Esposito","Action, Adventure, Drama ",45 Minutes,1729174,0.05,2,1053
Elementary,"A modern take on the cases of Sherlock Holmes, with the detective now living in New York City.","Jonny Lee Miller, Lucy Liu, Aidan Quinn","Crime, Drama, Mystery ",60 Minutes,2375269,0.07,7,1054
Hart Of Dixie,"Fast-talking New Yorker and brand new doctor Zoe Hart has it all figured out - after graduating top of her class from medical school, she'll follow in her father's footsteps and become a cardio-thoracic surgeon. But when her dreams fall apart, Zoe decides to accept an offer from a stranger, Dr. Harley Wilkes, to work with him at his small practice in Bluebell, Alabama. Zoe arrives in this small Gulf Coast town only to find that Harley has passed away and left his half of the medical practice to her in his will.","Rachel Bilson, Jaime King, Cress Williams","Comedy, Drama, Romance ",60 Minutes,1116953,0.02,4,1055
Grimm,A homicide detective discovers he is a descendant of hunters who fight supernatural forces.,"David Giuntoli, Russell Hornsby, Bitsie Tulloch","Drama, Fantasy, Horror ",45 Minutes,5039556,0.1,6,1056
American Horror Story,"An anthology series that centers on different characters and locations, including a haunted house, an insane asylum and a witch coven.","Evan Peters, Jessica Lange, Lily Rabe","Drama, Horror, Mystery ",60 Minutes,2160952,0.07,9,1057
Scandal,"When you get into trouble there's only one person to call, Olivia Pope. Olivia is a professional 'fixer' who makes problems go away before anyone even knows they exist. For the moneyed, the powerful and even the President, Olivia is a legend in her field. Her spectacular success is mostly due to her unbreakable rule of always trust your gut. No matter how careful you are, when you do damage control for a living, you're bound to cause some damage to your own life. She and her crew eat, sleep, live and breathe crisis. Each week, as the team races against the clock to defuse intriguing new problems before they become full-blown disasters, they also have to deal with their own personal issues. They may call themselves 'gladiators in suits', but little by little, Olivia and her crew begin to reveal the chinks in their armor.","Kerry Washington, Columbus Short, Darby Stanchfield",Drama ,43 Minutes,7388745,0.06,7,1058
2 Broke Girls,Two young women waitressing at a greasy spoon diner strike up an unlikely friendship in the hopes of launching a successful business - if only they can raise the cash.,"Kat Dennings, Beth Behrs, Garrett Morris",Comedy ,22 Minutes,3203697,0.09,6,1059
Glee,"When a High School Spanish teacher, Will Schuester, becomes the director of the school's failing Glee club, New Directions, he hopes to be able to rejuvenate it. The club competes in the choir competition circuit. It's been called ""a High School Musical for adults"", the series follows the club and its mixture of oddball members as they try and restore it to its former glory. It is a musical comedy in which the eager and ambitious students not only compete to win the Nationals, but also have to deal with the tough and cruel realities of their school, McKinley High. At the same time, Will is trying to rejuvenate his failing love life whilst preventing the school's cheer leading coach Sue Sylvester from sabotaging the choir.","Lea Michele, Jane Lynch, Matthew Morrison","Comedy, Drama, Music ",44 Minutes,1559266,0.03,6,1060
The Tomorrow People,"The story of several young people from around the world who represent the next stage in human evolution, possessing special powers, including the ability to teleport and communicate with each other telepathically. Together they work to defeat the forces of evil.","Peyton List, Luke Mitchell, Aaron Yoo","Drama, Sci-Fi ",60 minutes,2054837,0.09,1,1061
